Neural Network Name, Layer Number, NumPEs, Runtime (Cycles), Activity count-based Energy (nJ), Throughput (MACs/Cycle), Throughput Per Energy (GMACs/s*J), Area, Power, NoC BW (Elements/cycle), Avg BW Req, Peak BW Req, Vector Width,  L2 SRAM Size (Bytes), L1 SRAM Size (Bytes), Multicasting Factor (Weight), Multicasting Factor (Input), Num Total Input Pixels, Num Total Weight Pixels, Ops/J, Num MACs, PE power, L1 power, L2 power, NOC power, input l1 read, input l1 write, input l2 read, input l2 write, input reuse factor,filter l1 read, filter l1 write, filter l2 read, filter l2 write, filter reuse factor,output l1 read, output l1 write, output l2 read, output l2 write, output reuse factor,Ingress Delay (Min), Ingress Delay (Max), Ingress Delay (Avg), Egress Delay (Min), Egress Delay (Max),  Egress Delay (Avg),Compute Delay (Min), Compute Delay (Min), Compute Delay (Avg),Avg number of utilized PEs, Arithmetic Intensity
Resnet50,CONV3_1_Residual,64,16386,4.22599e+08,24.497,57.9675,1.13885e+07,773.608,64,28.0311,32,9,258,6,1,1,401408,512,949855,401408,704.045,14.1312,4,51.4318,401408, 458752, 458752, 401408, 0.875, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 56, 0.5
Resnet50,CONV3_3_1,64,1048578,9.33613e+08,24.5,26.2421,1.13885e+07,773.608,64,28.0311,32,9,258,6,1,1,200704,32768,2.75169e+07,25690112,704.045,14.1312,4,51.4318,25690112, 29352000, 29352000, 200704, 0.875242, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 56, 0.5
Resnet50,CONV3_3_2,64,819204,1.08586e+09,121.679,112.059,1.13885e+07,773.608,64,52.5137,83,9,626,54,1,1,100352,147456,9.17989e+07,99680256,704.045,14.1312,4,51.4318,99680256, 41144048, 41144048, 100352, 2.42271, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 52, 0.75
Resnet50,CONV3_3_3,64,2097154,2.52387e+09,24.5,9.70731,1.13885e+07,773.608,64,28.031,32,9,258,6,1,1,100352,65536,2.03577e+07,51380224,704.045,14.1312,4,51.4318,51380224, 58687552, 58687552, 100352, 0.875488, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 56, 0.5
Resnet50,CONV3_3_Residual,64,16386,4.22599e+08,24.497,57.9675,1.13885e+07,773.608,64,28.0311,32,9,258,6,1,1,401408,512,949855,401408,704.045,14.1312,4,51.4318,401408, 458752, 458752, 401408, 0.875, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 56, 0.5
Resnet50,CONV3_4_1,64,1048578,9.33613e+08,24.5,26.2421,1.13885e+07,773.608,64,28.0311,32,9,258,6,1,1,200704,32768,2.75169e+07,25690112,704.045,14.1312,4,51.4318,25690112, 29352000, 29352000, 200704, 0.875242, 25690112, 32768, 32768, 32768, 784, 25690112, 25690112, 100352, 25690112, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 56, 0.5
Resnet50,CONV3_4_2,64,819204,1.08586e+09,121.679,112.059,1.13885e+07,773.608,64,52.5137,83,9,626,54,1,1,100352,147456,9.17989e+07,99680256,704.045,14.1312,4,51.4318,99680256, 41144048, 41144048, 100352, 2.42271, 99680256, 147456, 147456, 147456, 676, 99680256, 99680256, 86528, 11075584, 1, 1, 4, 2, 1, 1, 1, 3, 3, 3, 52, 0.75
Resnet50,CONV3_4_3,64,2097154,2.52387e+09,24.5,9.70731,1.13885e+07,773.608,64,28.031,32,9,258,6,1,1,100352,65536,2.03577e+07,51380224,704.045,14.1312,4,51.4318,51380224, 58687552, 58687552, 100352, 0.875488, 51380224, 65536, 65536, 65536, 784, 51380224, 51380224, 401408, 51380224, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 56, 0.5
Resnet50,CONV3_4_Residual,64,16386,4.22599e+08,24.497,57.9675,1.13885e+07,773.608,64,28.0311,32,9,258,6,1,1,401408,512,949855,401408,704.045,14.1312,4,51.4318,401408, 458752, 458752, 401408, 0.875, 401408, 512, 512, 512, 784, 401408, 401408, 401408, 401408, 1, 1, 2, 1, 1, 1, 1, 2, 2, 2, 56, 0.5
Resnet50,CONV4_1_1,64,2097153,9.31476e+08,13,13.9563,1.13885e+07,773.608,64,13.0624,16,9,130,6,1,1,401408,131072,2.92686e+07,27262976,704.045,14.1312,4,51.4318,27262976, 27254816, 27254816, 401408, 1.0003, 27262976, 131072, 131072, 131072, 208, 27262976, 27262976, 200704, 27262976, 1, 1, 1, 1, 1, 1, 1, 2, 2, 2, 28, 1
